monthOfFirstRegistration,fuelType,total
2021-06-01 00:00:00.000000 UTC,ELECTRICITY,13
2021-05-01 00:00:00.000000 UTC,ELECTRICITY,14
2021-03-01 00:00:00.000000 UTC,ELECTRICITY,26
2021-05-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2003-12-01 00:00:00.000000 UTC,DIESEL,323
2021-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,4
2021-09-01 00:00:00.000000 UTC,PETROL,3
2021-10-01 00:00:00.000000 UTC,ELECTRICITY,2
2004-12-01 00:00:00.000000 UTC,DIESEL,370
2004-06-01 00:00:00.000000 UTC,DIESEL,628
2021-11-01 00:00:00.000000 UTC,ELECTRICITY,6
2022-01-01 00:00:00.000000 UTC,ELECTRICITY,5
2007-06-01 00:00:00.000000 UTC,PETROL,1
2022-01-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2001-10-01 00:00:00.000000 UTC,DIESEL,193
2001-12-01 00:00:00.000000 UTC,DIESEL,142
2001-03-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2001-05-01 00:00:00.000000 UTC,PETROL,1
2002-11-01 00:00:00.000000 UTC,DIESEL,311
2002-07-01 00:00:00.000000 UTC,DIESEL,254
2003-06-01 00:00:00.000000 UTC,DIESEL,565
2003-04-01 00:00:00.000000 UTC,PETROL,2
2004-01-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2019-06-01 00:00:00.000000 UTC,PETROL,2
2001-12-01 00:00:00.000000 UTC,PETROL,2
2001-07-01 00:00:00.000000 UTC,PETROL,3
2002-12-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2002-06-01 00:00:00.000000 UTC,PETROL,2
2003-03-01 00:00:00.000000 UTC,GAS BI-FUEL,2
2004-04-01 00:00:00.000000 UTC,PETROL,3
2005-11-01 00:00:00.000000 UTC,PETROL,2
2016-03-01 00:00:00.000000 UTC,PETROL,2
2018-05-01 00:00:00.000000 UTC,PETROL,1
2019-12-01 00:00:00.000000 UTC,PETROL,1
2020-06-01 00:00:00.000000 UTC,PETROL,1
2021-03-01 00:00:00.000000 UTC,ELECTRIC DIESEL,3
2021-04-01 00:00:00.000000 UTC,PETROL,2
2013-03-01 00:00:00.000000 UTC,PETROL,1
2013-09-01 00:00:00.000000 UTC,PETROL,1
2010-08-01 00:00:00.000000 UTC,PETROL,1
2016-10-01 00:00:00.000000 UTC,ELECTRICITY,3
2018-12-01 00:00:00.000000 UTC,ELECTRICITY,2
2021-01-01 00:00:00.000000 UTC,ELECTRICITY,1
2001-03-01 00:00:00.000000 UTC,PETROL,3
2011-11-01 00:00:00.000000 UTC,PETROL,2
2003-01-01 00:00:00.000000 UTC,PETROL,3
2004-12-01 00:00:00.000000 UTC,PETROL,3
2004-07-01 00:00:00.000000 UTC,PETROL,2
2007-11-01 00:00:00.000000 UTC,PETROL,1
2009-03-01 00:00:00.000000 UTC,GAS BI-FUEL,2
2014-01-01 00:00:00.000000 UTC,ELECTRICITY,1
2007-05-01 00:00:00.000000 UTC,PETROL,1
2004-10-01 00:00:00.000000 UTC,PETROL,1
2012-09-01 00:00:00.000000 UTC,ELECTRICITY,4
2012-05-01 00:00:00.000000 UTC,ELECTRICITY,3
2018-02-01 00:00:00.000000 UTC,ELECTRICITY,1
2019-04-01 00:00:00.000000 UTC,ELECTRICITY,4
2003-01-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2009-02-01 00:00:00.000000 UTC,PETROL,1
2005-09-01 00:00:00.000000 UTC,GAS,1
2019-08-01 00:00:00.000000 UTC,PETROL,1
2021-03-01 00:00:00.000000 UTC,PETROL,2
2022-02-01 00:00:00.000000 UTC,DIESEL,429
2022-03-01 00:00:00.000000 UTC,DIESEL,662
2022-02-01 00:00:00.000000 UTC,PETROL,2
2022-07-01 00:00:00.000000 UTC,DIESEL,294
2022-07-01 00:00:00.000000 UTC,PETROL,1
2022-10-01 00:00:00.000000 UTC,ELECTRICITY,23
2022-12-01 00:00:00.000000 UTC,DIESEL,259
2022-12-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2013-11-01 00:00:00.000000 UTC,DIESEL,316
2007-11-01 00:00:00.000000 UTC,DIESEL,525
2013-09-01 00:00:00.000000 UTC,DIESEL,675
2018-09-01 00:00:00.000000 UTC,DIESEL,980
2018-02-01 00:00:00.000000 UTC,DIESEL,542
2018-04-01 00:00:00.000000 UTC,DIESEL,507
2016-11-01 00:00:00.000000 UTC,DIESEL,535
2017-03-01 00:00:00.000000 UTC,DIESEL,1234
2012-09-01 00:00:00.000000 UTC,DIESEL,563
2012-07-01 00:00:00.000000 UTC,DIESEL,317
2010-05-01 00:00:00.000000 UTC,DIESEL,301
2007-03-01 00:00:00.000000 UTC,DIESEL,1252
2015-05-01 00:00:00.000000 UTC,DIESEL,616
2014-01-01 00:00:00.000000 UTC,DIESEL,704
2013-12-01 00:00:00.000000 UTC,DIESEL,182
2011-03-01 00:00:00.000000 UTC,DIESEL,905
2014-07-01 00:00:00.000000 UTC,DIESEL,449
2003-04-01 00:00:00.000000 UTC,DIESEL,463
2007-05-01 00:00:00.000000 UTC,DIESEL,707
2002-04-01 00:00:00.000000 UTC,DIESEL,367
2003-03-01 00:00:00.000000 UTC,DIESEL,849
2015-07-01 00:00:00.000000 UTC,DIESEL,461
2003-05-01 00:00:00.000000 UTC,DIESEL,476
2012-12-01 00:00:00.000000 UTC,DIESEL,147
2014-12-01 00:00:00.000000 UTC,DIESEL,347
2007-04-01 00:00:00.000000 UTC,DIESEL,605
2003-07-01 00:00:00.000000 UTC,DIESEL,376
2008-04-01 00:00:00.000000 UTC,DIESEL,775
2012-08-01 00:00:00.000000 UTC,DIESEL,308
2013-01-01 00:00:00.000000 UTC,DIESEL,627
2010-02-01 00:00:00.000000 UTC,DIESEL,347
2006-12-01 00:00:00.000000 UTC,DIESEL,305
2008-11-01 00:00:00.000000 UTC,DIESEL,264
2013-02-01 00:00:00.000000 UTC,DIESEL,340
2009-11-01 00:00:00.000000 UTC,DIESEL,264
2003-08-01 00:00:00.000000 UTC,DIESEL,347
2006-02-01 00:00:00.000000 UTC,DIESEL,527
2009-12-01 00:00:00.000000 UTC,DIESEL,286
2021-06-01 00:00:00.000000 UTC,DIESEL,676
2021-04-01 00:00:00.000000 UTC,DIESEL,753
2019-11-01 00:00:00.000000 UTC,DIESEL,342
2021-01-01 00:00:00.000000 UTC,DIESEL,536
2020-11-01 00:00:00.000000 UTC,DIESEL,415
2020-06-01 00:00:00.000000 UTC,DIESEL,417
2020-04-01 00:00:00.000000 UTC,DIESEL,22
2021-06-01 00:00:00.000000 UTC,PETROL,4
2021-07-01 00:00:00.000000 UTC,PETROL,6
2009-08-01 00:00:00.000000 UTC,DIESEL,216
