monthOfFirstRegistration,fuelType,total
2015-11-01 00:00:00.000000 UTC,ELECTRICITY,17
2012-05-01 00:00:00.000000 UTC,HYBRID ELECTRIC,28
2017-04-01 00:00:00.000000 UTC,ELECTRICITY,16
2018-05-01 00:00:00.000000 UTC,ELECTRICITY,14
2014-12-01 00:00:00.000000 UTC,HYBRID ELECTRIC,21
2011-02-01 00:00:00.000000 UTC,HYBRID ELECTRIC,12
2014-10-01 00:00:00.000000 UTC,ELECTRICITY,10
2006-09-01 00:00:00.000000 UTC,HYBRID ELECTRIC,10
2005-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,3
2012-07-01 00:00:00.000000 UTC,HYBRID ELECTRIC,25
2014-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,66
2022-06-01 00:00:00.000000 UTC,GAS BI-FUEL,12
2016-01-01 00:00:00.000000 UTC,ELECTRICITY,20
2017-09-01 00:00:00.000000 UTC,ELECTRIC DIESEL,2
2016-11-01 00:00:00.000000 UTC,ELECTRICITY,8
2016-08-01 00:00:00.000000 UTC,ELECTRICITY,11
